amount,hour,transaction_type,merchant_category,country,device_risk_score,ip_risk_score,account_age_days,previous_transactions,international,is_fraud
27.26,7,Online,Electronics,USA,0.597,0.297,1683,11,1,0
126.89,1,Online,Food,India,0.477,0.28,2065,3,0,0
44.94,2,Bank Transfer,Travel,India,0.367,0.39,1076,13,0,0
66.35,11,Online,Entertainment,India,0.474,0.06,2751,10,0,0
56.63,2,Online,Travel,USA,0.108,0.045,2622,8,1,0
93.46,8,Online,Travel,India,0.442,0.334,2165,13,0,0
272.46,13,POS,Grocery,India,0.312,0.417,1563,9,0,0
73.01,20,POS,Entertainment,India,0.533,0.496,311,13,0,0
126.97,2,Bank Transfer,Grocery,UAE,0.244,0.33,717,10,1,0
8.58,10,POS,Entertainment,India,0.216,0.362,2908,12,0,0
63.52,2,ATM,Utilities,India,0.523,0.666,1624,10,0,0
28.7,10,POS,Grocery,India,0.108,0.303,1299,18,0,0
19.71,11,ATM,Grocery,India,0.215,0.361,2169,15,0,0
27.71,19,POS,Utilities,India,0.452,0.547,720,7,0,0
47.75,10,Bank Transfer,Grocery,Singapore,0.259,0.456,926,10,1,1
166.65,22,Online,Electronics,USA,0.289,0.165,1159,15,1,0
17.7,3,POS,Utilities,India,0.585,0.418,2617,8,0,0
68.76,1,Online,Grocery,India,0.334,0.326,1401,14,0,0
41.09,0,Online,Food,India,0.318,0.071,171,7,0,0
48.05,8,POS,Electronics,India,0.222,0.304,1410,10,0,0
181.77,4,POS,Electronics,India,0.024,0.326,893,9,0,0
114.22,2,ATM,Utilities,India,0.025,0.211,1419,13,0,0
254.02,5,ATM,Food,Singapore,0.423,0.236,2782,16,1,0
57.14,23,POS,Travel,India,0.144,0.237,967,15,0,0
33.25,19,Bank Transfer,Utilities,India,0.058,0.128,803,7,0,0
53.31,0,POS,Food,UAE,0.234,0.206,1425,13,1,0
84.99,21,POS,Grocery,India,0.411,0.13,228,14,0,0
79.56,4,Online,Electronics,India,0.229,0.351,625,11,0,0
22.55,9,POS,Travel,India,0.229,0.18,136,10,0,0
73.0,7,POS,Food,UAE,0.657,0.259,2713,9,1,0
83.78,9,Online,Utilities,India,0.125,0.076,2261,6,0,0
826.73,18,POS,Grocery,India,0.076,0.251,483,8,0,0
435.65,17,POS,Entertainment,India,0.354,0.345,1009,10,0,0
28.41,14,ATM,Utilities,India,0.102,0.158,333,16,0,0
50.03,15,Online,Utilities,India,0.056,0.404,2294,10,0,0
15.43,17,ATM,Food,India,0.399,0.139,394,10,0,0
36.94,4,Online,Travel,Singapore,0.243,0.447,1954,14,1,0
91.43,9,Online,Grocery,USA,0.425,0.831,1722,15,1,0
222.71,2,POS,Utilities,India,0.197,0.25,2252,9,0,0
32.17,16,ATM,Electronics,India,0.083,0.495,2556,12,0,0
34.67,10,POS,Electronics,India,0.114,0.226,2752,17,0,0
7.79,15,POS,Entertainment,India,0.486,0.295,993,14,0,0
56.68,13,ATM,Entertainment,USA,0.313,0.29,2443,15,1,1
23.05,6,ATM,Entertainment,India,0.333,0.249,522,7,0,0
39.27,3,Online,Utilities,Singapore,0.251,0.453,454,14,1,0
27.75,23,POS,Utilities,India,0.124,0.426,2651,11,0,0
60.69,7,POS,Travel,USA,0.282,0.495,2721,13,1,0
11.5,2,Online,Travel,Singapore,0.687,0.262,2021,16,1,0
15.38,7,ATM,Travel,USA,0.161,0.162,1007,13,1,0
560.73,21,Online,Food,Singapore,0.575,0.392,1247,17,1,1
18.4,6,POS,Food,UK,0.413,0.381,2413,15,1,0
22.27,23,POS,Utilities,India,0.551,0.163,690,6,0,0
418.6,11,Online,Utilities,India,0.642,0.268,1564,10,0,0
1218.12,20,Online,Entertainment,India,0.149,0.288,1179,12,0,0
20.66,15,POS,Grocery,Singapore,0.084,0.224,526,12,1,0
46.14,1,POS,Entertainment,India,0.417,0.444,1727,13,0,0
93.84,12,POS,Utilities,UAE,0.39,0.52,2069,8,1,0
375.66,10,POS,Utilities,India,0.115,0.561,697,10,0,0
24.86,4,Online,Electronics,USA,0.475,0.211,2007,9,1,0
52.18,13,POS,Entertainment,India,0.366,0.135,2751,15,0,0
145.09,2,Online,Electronics,UAE,0.299,0.037,2723,13,1,0
103.0,16,ATM,Grocery,India,0.092,0.06,2737,11,0,0
45.78,19,Bank Transfer,Electronics,India,0.531,0.131,1231,13,0,0
58.33,2,Bank Transfer,Travel,Singapore,0.677,0.209,2051,14,1,0
16.86,11,POS,Utilities,India,0.277,0.454,2203,16,0,0
52.55,15,POS,Travel,India,0.306,0.136,2920,16,0,0
51.09,1,POS,Grocery,Singapore,0.236,0.332,1554,9,1,0
84.11,9,ATM,Food,Singapore,0.394,0.574,2531,16,1,0
38.27,6,POS,Food,India,0.037,0.293,1651,9,0,0
106.86,0,Online,Food,India,0.249,0.179,2465,10,0,0
183.59,19,POS,Grocery,India,0.447,0.168,1029,12,0,0
77.9,10,POS,Electronics,India,0.182,0.13,222,8,0,0
94.8,18,ATM,Utilities,India,0.518,0.431,1084,9,0,0
70.33,14,Online,Grocery,India,0.643,0.177,1006,15,0,0
66.69,21,Online,Entertainment,India,0.504,0.503,2408,11,0,1
32.41,23,Bank Transfer,Grocery,India,0.276,0.234,2076,13,0,0
91.51,14,POS,Travel,Singapore,0.401,0.35,1903,13,1,0
60.5,8,POS,Utilities,India,0.193,0.129,569,13,0,0
540.86,10,Online,Travel,India,0.765,0.442,2059,11,0,0
321.61,19,Online,Food,UAE,0.098,0.488,2047,18,1,0
98.09,10,Online,Electronics,UK,0.672,0.118,2793,14,1,0
31.09,12,POS,Food,India,0.498,0.435,800,14,0,0
21.92,4,Bank Transfer,Electronics,UAE,0.128,0.251,2069,12,1,0
219.45,23,POS,Electronics,India,0.449,0.409,230,15,0,0
86.73,15,Online,Entertainment,India,0.309,0.046,2203,7,0,0
107.79,7,Online,Food,India,0.237,0.229,2439,13,0,0
11.65,14,Bank Transfer,Food,India,0.231,0.204,2318,13,0,0
168.58,9,Online,Entertainment,USA,0.24,0.16,1356,8,1,0
105.05,3,Bank Transfer,Electronics,India,0.317,0.153,1287,18,0,0
21.97,20,POS,Entertainment,Singapore,0.619,0.071,104,10,1,0
41.62,21,Online,Entertainment,India,0.049,0.634,1381,9,0,0
86.81,20,ATM,Utilities,India,0.103,0.28,2159,10,0,0
70.28,8,Online,Electronics,India,0.08,0.476,2936,18,0,0
49.79,6,Online,Food,India,0.501,0.363,322,16,0,1
60.13,1,Bank Transfer,Grocery,UAE,0.314,0.362,1679,9,1,0
51.83,17,POS,Grocery,USA,0.129,0.415,741,14,1,0
77.68,7,Online,Grocery,UK,0.259,0.408,1128,15,1,0
290.47,21,Bank Transfer,Food,USA,0.365,0.442,2352,10,1,0
5.12,20,Bank Transfer,Travel,India,0.125,0.442,175,14,0,0
52.62,3,Bank Transfer,Travel,India,0.307,0.24,166,11,0,0
79.56,22,Bank Transfer,Food,India,0.349,0.269,646,15,0,0
89.66,3,POS,Electronics,UK,0.03,0.3,761,9,1,0
45.97,11,Bank Transfer,Grocery,India,0.423,0.151,2334,14,0,0
11.51,11,Online,Food,India,0.543,0.103,817,11,0,0
92.57,22,Online,Food,USA,0.388,0.038,2780,13,1,0
375.16,15,Online,Grocery,India,0.195,0.193,2928,13,0,0
14.38,21,ATM,Travel,India,0.28,0.277,2353,15,0,0
158.19,14,Online,Travel,India,0.159,0.272,1433,11,0,0
48.01,19,ATM,Entertainment,India,0.372,0.306,2387,10,0,0
62.72,20,POS,Travel,India,0.504,0.259,489,11,0,1
23.27,20,POS,Grocery,Singapore,0.175,0.215,2628,17,1,0
47.73,9,Online,Travel,USA,0.314,0.3,1004,10,1,0
244.7,9,POS,Electronics,India,0.266,0.194,1335,6,0,0
119.42,23,Online,Entertainment,UK,0.369,0.106,2694,10,1,0
377.03,18,POS,Grocery,UK,0.434,0.381,418,12,1,0
216.46,22,Online,Utilities,USA,0.278,0.161,302,9,1,0
103.45,13,POS,Travel,UAE,0.126,0.248,1858,14,1,0
381.43,22,POS,Electronics,UK,0.184,0.577,2948,14,1,0
103.44,17,Online,Grocery,India,0.283,0.225,2727,11,0,0
152.63,17,POS,Travel,India,0.396,0.315,2963,9,0,0
49.57,4,POS,Electronics,India,0.578,0.112,1336,10,0,0
71.28,13,POS,Food,India,0.659,0.522,1847,9,0,0
33.2,17,POS,Entertainment,UAE,0.094,0.261,2450,7,1,0
179.39,18,Online,Food,India,0.49,0.289,550,15,0,0
20.53,22,POS,Grocery,India,0.283,0.127,2626,10,0,0
145.82,7,Online,Electronics,UAE,0.727,0.106,2527,11,1,0
55.11,7,Online,Entertainment,USA,0.24,0.087,240,10,1,0
215.13,23,Online,Food,India,0.409,0.176,1442,13,0,0
141.3,23,Online,Food,UAE,0.414,0.464,1281,11,1,1
411.84,4,POS,Food,India,0.291,0.593,2398,15,0,0
138.49,9,Bank Transfer,Food,India,0.442,0.577,1361,8,0,0
13.85,22,Online,Utilities,India,0.044,0.262,2794,7,0,1
62.37,4,POS,Food,UAE,0.169,0.099,1299,10,1,0
20.66,18,Bank Transfer,Food,India,0.23,0.205,1449,15,0,1
39.71,2,Online,Electronics,India,0.193,0.096,791,15,0,0
302.24,4,Online,Electronics,USA,0.14,0.284,2537,5,1,0
126.16,18,Bank Transfer,Entertainment,Singapore,0.12,0.267,1467,6,1,0
33.15,14,POS,Utilities,India,0.485,0.13,1477,10,0,0
24.2,13,ATM,Entertainment,India,0.341,0.137,2169,8,0,0
68.91,20,Online,Food,UAE,0.055,0.285,2297,21,1,0
19.76,7,Online,Entertainment,UK,0.287,0.226,2039,14,1,0
34.09,12,POS,Grocery,India,0.198,0.358,488,13,0,0
91.1,14,POS,Travel,India,0.341,0.477,2789,17,0,0
211.73,17,Bank Transfer,Travel,India,0.724,0.185,2477,9,0,0
122.58,7,POS,Food,USA,0.125,0.047,2206,14,1,0
6.74,15,POS,Entertainment,India,0.167,0.514,1660,9,0,0
90.41,10,Online,Grocery,UK,0.173,0.591,2263,14,1,1
71.67,13,ATM,Travel,India,0.184,0.427,2121,8,0,0
100.88,20,POS,Electronics,UK,0.071,0.136,869,12,1,0
335.7,9,ATM,Utilities,India,0.324,0.118,1408,10,0,0
8.47,16,Online,Grocery,Singapore,0.171,0.266,94,8,1,0
36.93,22,ATM,Utilities,India,0.258,0.205,12,14,0,1
120.41,18,POS,Travel,India,0.183,0.472,1539,10,0,0
13.71,23,POS,Travel,India,0.717,0.336,2257,13,0,0
291.77,14,Online,Food,India,0.346,0.205,2336,13,0,0
96.39,6,POS,Entertainment,India,0.343,0.492,2468,15,0,0
155.49,23,Online,Utilities,USA,0.424,0.116,1195,15,1,0
37.68,15,POS,Grocery,Singapore,0.319,0.508,1625,11,1,0
150.47,5,ATM,Grocery,India,0.756,0.184,2443,13,0,0
194.12,7,Bank Transfer,Electronics,India,0.343,0.506,100,9,0,0
84.17,6,ATM,Food,India,0.175,0.128,1861,7,0,0
84.3,20,Bank Transfer,Travel,UK,0.219,0.221,1174,10,1,0
87.39,2,Bank Transfer,Food,India,0.527,0.301,996,11,0,0
28.12,17,Online,Travel,India,0.136,0.891,1713,18,0,0
57.54,13,Online,Utilities,India,0.03,0.26,1027,16,0,0
57.25,1,Bank Transfer,Travel,India,0.168,0.642,1773,5,0,0
97.85,14,Bank Transfer,Food,India,0.517,0.412,2048,17,0,0
181.24,18,Bank Transfer,Food,India,0.404,0.083,1531,11,0,0
23.14,17,ATM,Grocery,India,0.415,0.683,1728,12,0,0
58.85,12,POS,Food,UK,0.086,0.152,1187,13,1,0
293.38,8,Bank Transfer,Grocery,India,0.076,0.072,201,10,0,0
31.7,3,Bank Transfer,Food,India,0.136,0.447,1016,16,0,0
29.3,0,Online,Food,India,0.375,0.269,1657,16,0,0
81.64,8,Bank Transfer,Grocery,Singapore,0.374,0.174,1087,6,1,0
155.15,15,Online,Travel,USA,0.056,0.199,131,10,1,0
67.45,0,Bank Transfer,Travel,India,0.34,0.18,1531,8,0,0
251.88,23,POS,Utilities,Singapore,0.474,0.336,1641,17,1,0
157.09,14,Bank Transfer,Travel,India,0.7,0.101,2629,18,0,0
154.75,7,POS,Utilities,India,0.232,0.108,2782,6,0,0
116.06,23,POS,Food,USA,0.104,0.258,1741,14,1,0
683.79,4,POS,Utilities,USA,0.211,0.417,276,20,1,0
54.32,22,Online,Entertainment,India,0.275,0.021,2369,17,0,0
8.99,6,POS,Travel,India,0.691,0.26,1452,15,0,0
331.71,9,Bank Transfer,Food,India,0.111,0.306,1791,15,0,0
42.19,10,Online,Entertainment,India,0.56,0.182,2324,8,0,0
74.28,23,Bank Transfer,Grocery,UAE,0.248,0.213,1909,11,1,0
247.04,6,POS,Food,India,0.348,0.307,1287,16,0,0
13.43,23,POS,Electronics,UAE,0.265,0.259,2536,10,1,0
19.07,8,ATM,Grocery,India,0.912,0.331,1080,14,0,0
13.45,6,ATM,Utilities,UK,0.275,0.198,1946,12,1,0
30.14,15,Online,Travel,UAE,0.067,0.203,1732,12,1,0
103.51,16,ATM,Utilities,USA,0.332,0.26,2457,11,1,0
112.64,8,ATM,Travel,India,0.257,0.387,2563,13,0,0
87.91,3,Online,Food,India,0.194,0.147,701,8,0,0
16.24,9,Bank Transfer,Electronics,India,0.18,0.224,2600,8,0,0
6.62,12,ATM,Utilities,India,0.373,0.327,1765,14,0,0
70.41,0,Online,Utilities,UAE,0.589,0.069,812,12,1,0
41.61,1,Online,Entertainment,India,0.137,0.298,1844,7,0,0
105.57,22,POS,Utilities,India,0.157,0.22,2901,10,0,0
134.55,0,POS,Entertainment,India,0.403,0.652,1850,15,0,0
76.57,9,ATM,Travel,India,0.441,0.177,488,18,0,0
142.61,18,ATM,Utilities,India,0.509,0.048,1486,15,0,0
83.87,7,POS,Food,India,0.146,0.113,636,9,0,0
113.3,11,Online,Electronics,UK,0.378,0.056,785,15,1,0
32.96,2,POS,Travel,India,0.35,0.168,2100,10,0,0
55.72,19,POS,Entertainment,India,0.27,0.269,343,15,0,0
81.19,15,Bank Transfer,Travel,India,0.523,0.333,2600,11,0,0
151.49,20,Online,Food,India,0.308,0.121,2712,14,0,0
44.98,20,POS,Grocery,India,0.104,0.549,557,10,0,0
112.3,8,Online,Food,USA,0.594,0.239,939,11,1,0
51.12,0,Online,Food,India,0.087,0.016,976,12,0,0
59.29,8,ATM,Food,UK,0.276,0.182,153,9,1,0
152.86,3,Bank Transfer,Food,India,0.518,0.075,232,6,0,0
9.09,12,Online,Utilities,India,0.233,0.263,2230,11,0,0
18.24,3,Online,Utilities,UAE,0.123,0.468,1380,9,1,0
15.15,22,Online,Electronics,UAE,0.223,0.178,690,10,1,0
